cl_opinion_id,case_name,year,issue_area,times_cited,cites_made,community,in_giant,x,y,courtlistener_url
107899,,1969,Criminal Procedure,0,0,,0,140.0,1060,https://www.courtlistener.com/opinion/107899/x/
107898,,1969,First Amendment,70,41,1,1,370.69,328.97,https://www.courtlistener.com/opinion/107898/x/
107893,,1969,Criminal Procedure,12,10,2,1,282.02,281.22,https://www.courtlistener.com/opinion/107893/x/
107892,,1969,Criminal Procedure,29,5,2,1,244.13,336.84,https://www.courtlistener.com/opinion/107892/x/
107890,,1969,Criminal Procedure,11,13,2,1,315.09,303.81,https://www.courtlistener.com/opinion/107890/x/
107897,,1969,Civil Rights,20,10,1,1,439.8,303.01,https://www.courtlistener.com/opinion/107897/x/
107896,,1969,Civil Rights,23,5,1,1,437.75,273.44,https://www.courtlistener.com/opinion/107896/x/
107895,,1969,Economic Activity,8,13,4,1,453.53,416.99,https://www.courtlistener.com/opinion/107895/x/
107894,,1969,Criminal Procedure,0,0,,0,150.0,1060,https://www.courtlistener.com/opinion/107894/x/
92886,,1890,Economic Activity,1,1,8,1,695.8,308.68,https://www.courtlistener.com/opinion/92886/x/
92887,,1890,Judicial Power,5,5,7,1,543.31,667.86,https://www.courtlistener.com/opinion/92887/x/
92884,,1890,Due Process,5,1,4,1,663.41,474.17,https://www.courtlistener.com/opinion/92884/x/
92885,,1890,Judicial Power,12,2,6,1,397.84,547.87,https://www.courtlistener.com/opinion/92885/x/
92882,,1890,Federal Taxation,8,22,5,1,494.0,420.96,https://www.courtlistener.com/opinion/92882/x/
92883,,1890,Economic Activity,3,10,6,1,414.15,767.83,https://www.courtlistener.com/opinion/92883/x/
92880,,1890,Due Process,11,6,7,1,445.48,565.95,https://www.courtlistener.com/opinion/92880/x/
92881,,1890,Judicial Power,23,5,3,1,496.87,407.34,https://www.courtlistener.com/opinion/92881/x/
89142,,1875,Federalism,27,2,7,1,458.11,564.14,https://www.courtlistener.com/opinion/89142/x/
92888,,1890,Private Action,1,1,6,1,286.7,717.07,https://www.courtlistener.com/opinion/92888/x/
92889,,1890,Judicial Power,2,5,6,1,353.75,716.49,https://www.courtlistener.com/opinion/92889/x/
93139,,1891,Judicial Power,0,7,7,1,402.97,783.34,https://www.courtlistener.com/opinion/93139/x/
93138,,1891,Attorneys,0,0,,0,160.0,1060,https://www.courtlistener.com/opinion/93138/x/
104278,,1946,Economic Activity,10,15,6,1,278.78,586.89,https://www.courtlistener.com/opinion/104278/x/
104279,,1946,Federal Taxation,3,4,0,1,455.22,645.75,https://www.courtlistener.com/opinion/104279/x/
104276,,1946,Judicial Power,8,14,10,1,395.87,567.77,https://www.courtlistener.com/opinion/104276/x/
104274,,1946,Civil Rights,5,13,11,1,392.55,505.44,https://www.courtlistener.com/opinion/104274/x/
104275,,1946,Judicial Power,9,35,7,1,452.96,570.49,https://www.courtlistener.com/opinion/104275/x/
104272,,1946,Judicial Power,71,21,14,1,404.86,449.39,https://www.courtlistener.com/opinion/104272/x/
104273,,1946,Economic Activity,29,34,4,1,425.15,424.81,https://www.courtlistener.com/opinion/104273/x/
104270,,1946,Economic Activity,0,0,,0,170.0,1060,https://www.courtlistener.com/opinion/104270/x/
104271,,1946,Unions,9,6,13,1,293.32,501.72,https://www.courtlistener.com/opinion/104271/x/
104437,,1947,Economic Activity,3,33,8,1,534.39,461.14,https://www.courtlistener.com/opinion/104437/x/
2620885,,1922,Private Action,2,1,8,1,581.31,360.83,https://www.courtlistener.com/opinion/2620885/x/
98109,,1914,Economic Activity,24,17,8,1,535.04,426.76,https://www.courtlistener.com/opinion/98109/x/
98108,,1914,Private Action,13,4,6,1,317.52,604.14,https://www.courtlistener.com/opinion/98108/x/
98105,,1914,Judicial Power,3,3,11,1,308.4,605.36,https://www.courtlistener.com/opinion/98105/x/
98107,,1914,Economic Activity,7,7,8,1,525.95,373.56,https://www.courtlistener.com/opinion/98107/x/
98106,,1914,Federalism,6,3,6,1,347.35,611.7,https://www.courtlistener.com/opinion/98106/x/
98101,,1914,Judicial Power,7,21,11,1,538.87,627.28,https://www.courtlistener.com/opinion/98101/x/
98103,,1914,Judicial Power,1,0,3,1,213.33,652.38,https://www.courtlistener.com/opinion/98103/x/
98102,,1914,Judicial Power,7,15,10,1,408.9,593.33,https://www.courtlistener.com/opinion/98102/x/
2620886,,1998,Judicial Power,43,76,1,1,370.79,437.86,https://www.courtlistener.com/opinion/2620886/x/
98647,,1916,Judicial Power,2,7,7,1,550.86,567.48,https://www.courtlistener.com/opinion/98647/x/
2620881,,1962,Civil Rights,1,0,2,1,284.82,149.65,https://www.courtlistener.com/opinion/2620881/x/
97749,,1913,Economic Activity,16,5,6,1,372.87,608.27,https://www.courtlistener.com/opinion/97749/x/
2620880,,1910,Economic Activity,0,0,,0,180.0,1060,https://www.courtlistener.com/opinion/2620880/x/
99858,,1921,Attorneys,2,2,5,1,501.27,554.71,https://www.courtlistener.com/opinion/99858/x/
99859,,1921,Judicial Power,3,1,5,1,276.61,502.11,https://www.courtlistener.com/opinion/99859/x/
97150,,1910,Economic Activity,56,65,8,1,519.6,431.83,https://www.courtlistener.com/opinion/97150/x/
99850,,1921,Federal Taxation,10,6,0,1,565.39,463.25,https://www.courtlistener.com/opinion/99850/x/
99851,,1921,Judicial Power,3,3,9,1,564.0,512.74,https://www.courtlistener.com/opinion/99851/x/
99852,,1921,Economic Activity,4,5,3,1,592.27,510.47,https://www.courtlistener.com/opinion/99852/x/
99854,,1921,Criminal Procedure,1,0,13,1,296.47,578.01,https://www.courtlistener.com/opinion/99854/x/
99855,,1921,Criminal Procedure,0,1,5,1,184.52,494.55,https://www.courtlistener.com/opinion/99855/x/
99856,,1921,Federalism,6,6,11,1,467.11,593.36,https://www.courtlistener.com/opinion/99856/x/
97156,,1910,Economic Activity,3,0,7,1,497.48,727.65,https://www.courtlistener.com/opinion/97156/x/
99775,,1921,Interstate Relations,1,1,11,1,618.67,766.34,https://www.courtlistener.com/opinion/99775/x/
98641,,1916,Judicial Power,5,14,7,1,472.68,649.35,https://www.courtlistener.com/opinion/98641/x/
99019,,1917,Economic Activity,6,6,7,1,474.94,641.52,https://www.courtlistener.com/opinion/99019/x/
105639,,1958,Judicial Power,1,1,7,1,274.81,443.23,https://www.courtlistener.com/opinion/105639/x/
